Alabama,,9,849624,1441170,32488,2323282,
Alaska,9,,1318255,729547,75570,2123372,
Arizona,3,,163387,116454,38767,318608,
Arkansas,11,,1252401,1161167,159597,2573165,
California,6,,684872,380494,65310,1130676,
Colorado,,55,4483814,8753792,943998,14181604,
Connecticut,,9,1202484,1338870,238893,2780247,
Delaware,,7,673215,897572,74133,1644920,
Washington,,3,185127,235603,23084,443814,
Florida,,3,12723,282830,15715,311268,
Georgia,29,,4617886,4504975,297178,9420039,
Hawaii,16,,2089104,1877963,147665,4114732,
Idaho,,3,128847,266891,33199,428937,
Illinois,4,,409055,189765,91435,690255,
Indiana,,20,2146015,3090729,299680,5536424,
Iowa,11,,1557286,1033126,144546,2734958,
Kansas,6,,800983,653669,111379,1566031,
Kentucky,6,,671018,427005,86379,1184402,
Louisiana,8,,1202971,628854,92324,1924149,
Maine,8,,1178638,780154,70240,2029032,
Maryland,1,3,335593,357735,54599,747927,
Massachusetts,,10,943169,1677928,160349,2781446,
Michigan,,11,1090893,1995196,238957,3325046,
Minnesota,16,,2279543,2268839,250902,4799284,
Mississippi,,10,1322951,1367716,254146,2944813,
Missouri,6,,700714,485131,23512,1209357,
Montana,10,,1594511,1071068,143026,2808605,
Nebraska,3,,279240,177709,40198,497147,
Nevada,5,,495961,284494,63772,844227,
New Hampshire,,6,512058,539260,74067,1125385,
New Jersey,,4,345790,348526,49980,744296,
New Mexico,,14,1601933,2148278,123835,3874046,
New York,,5,319667,385234,93418,798319,
North Carolina,,29,2819533,4556118,345791,7721442,
North Dakota,15,,2362631,2189316,189617,4741564,
Ohio,3,,216794,93758,33808,344360,
Oklahoma,18,,2841005,2394164,261318,5496487,
Oregon,7,,949136,420375,83481,1452992,
Pennsylvania,,7,782403,1002106,216827,2001336,
Rhode Island,20,,2970733,2926441,268304,6165478,
South Carolina,,4,180543,252525,31076,464144,
South Dakota,9,,1155389,855373,92265,2103027,
Tennessee,3,,227721,117458,24914,370093,
Texas,11,,1522925,870695,114407,2508027,
Utah,36,,4685047,3877868,406311,8969226,
Vermont,6,,515231,310676,305523,1131430,
Virginia,,3,95369,178573,41125,315067,
Washington,,13,1769443,1981473,233715,3984631,
West Virginia,,8,1221747,1742718,352554,3317019,
Wisconsin,5,,489371,188794,36258,714423,
Wyoming,10,,1405284,1382536,188330,2976150,
