Alabama,,9,795696,1255925,22717,2074338,
Alaska,,3,122640,164676,13179,300495,
Arizona,,11,1025232,1233654,40368,2299254,
Arkansas,,6,394409,647744,27315,1069468,
California,55,,7854285,4839958,344304,13038547,
Colorado,9,,1323102,1185243,61177,2569522,
Connecticut,7,,905083,634892,18985,1558960,
Delaware,3,,242584,165484,5853,413921,
Washington,3,,267070,21381,5313,293764,
Florida,29,,4237756,4163447,72976,8474179,
Georgia,,16,1773827,2078688,47535,3900050,
Hawaii,4,,306658,121015,7024,434697,
Idaho,,4,212787,420911,18576,652274,
Illinois,20,,3019512,2135216,87286,5242014,
Indiana,,11,1152887,1420543,51104,2624534,
Iowa,6,,822544,730617,29019,1582180,
Kansas,,6,440726,692634,26611,1159971,
Kentucky,,8,679370,1087190,30652,1797212,
Louisiana,,8,809141,1152262,32662,1994065,
Maine,4,,401306,292276,19598,713180,
Maryland,10,,1677844,971869,57614,2707327,
Massachusetts,11,,1921290,1188314,58163,3167767,
Michigan,16,,2564569,2115256,51136,4730961,
Minnesota,10,,1546167,1320225,70169,2936561,
Mississippi,,6,562949,710746,11889,1285584,
Missouri,,10,1223796,1482440,51087,2757323,
Montana,,3,201839,267928,14281,484048,
Nebraska,,5,302081,475064,17234,794379,
Nevada,6,,531373,463567,19978,1014918,
New Hampshire,4,,369561,329918,11493,710972,
New Jersey,14,,2125101,1477568,37623,3640292,
New Mexico,5,,415335,335788,32635,783758,
New York,29,,4485741,2490431,104987,7081159,
North Carolina,,15,2178391,2270395,56586,4505372,
North Dakota,,3,124827,188163,9637,322627,
Ohio,18,,2827709,2661437,91701,5580847,
Oklahoma,,7,443547,891325,0,1334872,
Oregon,7,,970488,754175,64607,1789270,
Pennsylvania,20,,2990274,2680434,82962,5753670,
Rhode Island,4,,279677,157204,9168,446049,
South Carolina,,9,865941,1071645,26532,1964118,
South Dakota,,3,145039,210610,8166,363815,
Tennessee,,11,960709,1462330,35538,2458577,
Texas,,38,3308124,4569843,115884,7993851,
Utah,,6,251813,740600,25027,1017440,
Vermont,3,,199239,92698,7353,299290,
Virginia,13,,1971820,1822522,60147,3854489,
Washington,12,,1755396,1290670,79450,3125516,
West Virginia,,5,238269,417655,14514,670438,
Wisconsin,10,,1620985,1407966,39483,3068434,
Wyoming,,3,69286,170962,8813,249061,
